Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
1,16,1,0,0,491,13,6,1,1,1,4,1,3,4,5,4,4,4,1,4,3,1
0,33,0,0,0,605,11,0,3,3,4,3,4,4,2,5,2,2,5,3,2,5,0
0,30,1,1,2,651,0,0,4,4,4,4,3,3,5,3,5,5,4,4,5,3,0
0,10,1,1,1,483,0,0,4,3,5,3,4,4,5,3,5,5,4,3,5,4,0
0,37,0,0,0,468,0,0,4,4,5,4,4,4,1,5,4,4,4,4,4,5,1
0,28,1,0,1,322,0,0,2,2,2,1,2,2,1,4,1,1,4,1,1,4,0
1,37,0,0,0,1052,8,0,3,3,5,3,2,3,4,2,3,3,5,3,3,5,0
0,26,1,1,1,300,0,0,4,2,4,2,3,3,3,2,3,3,4,2,3,4,0
1,23,0,0,0,1357,0,0,0,4,5,4,5,3,4,3,4,4,4,4,4,5,1
0,48,1,1,1,101,0,1,4,0,3,5,1,4,4,0,4,5,4,0,4,5,1
0,50,1,0,1,819,2,0,3,3,3,2,3,5,4,5,1,1,5,5,5,5,1
1,56,1,0,0,3131,0,0,1,1,4,5,1,4,4,4,5,2,4,1,4,5,1
1,8,1,1,1,1009,3,32,4,2,1,2,4,1,5,2,2,2,1,2,2,1,0
0,63,1,1,1,2338,11,0,2,5,3,3,4,5,3,5,4,5,5,5,5,5,1
1,58,1,0,0,2958,29,40,4,4,2,4,4,3,3,3,4,2,3,3,3,3,0
1,25,0,0,1,537,0,0,1,4,4,4,3,1,5,4,5,5,4,4,5,4,0
0,46,1,0,0,1620,0,0,4,4,4,3,4,5,4,5,3,2,5,4,5,5,1
0,26,0,0,0,679,0,0,4,4,5,4,4,3,1,4,1,1,5,4,1,4,1
1,60,1,1,1,271,36,21,1,2,1,2,2,2,1,3,1,1,2,3,1,2,0
1,39,1,0,0,2584,0,0,2,2,5,5,2,5,5,5,5,5,5,2,5,5,1
0,29,0,0,0,1379,0,0,4,4,5,4,4,3,4,5,4,4,5,4,4,4,1
1,50,1,0,0,1618,19,12,1,4,5,4,4,4,5,4,5,5,4,4,4,4,1
1,26,0,0,1,920,0,0,0,0,5,0,2,5,1,2,1,1,4,1,1,2,0
0,39,1,0,0,1615,9,14,5,5,5,3,5,2,2,2,1,2,2,5,2,2,1
1,71,1,0,2,836,0,0,3,3,3,2,3,1,1,4,1,1,2,2,1,2,0
0,54,1,0,0,1854,1,0,1,1,3,4,1,5,4,5,4,2,5,1,5,5,1
0,56,1,0,0,462,0,0,2,2,5,4,2,5,4,4,4,5,5,2,5,5,1
0,23,1,0,0,438,0,12,4,4,5,4,4,1,4,2,4,4,3,4,4,2,1
0,52,1,0,0,1004,5,0,1,4,3,4,1,5,4,5,4,4,5,1,5,5,1
0,59,1,0,0,2021,2,0,0,0,4,1,5,5,4,5,5,5,5,0,5,5,1
1,37,0,0,0,258,1,0,5,5,4,5,4,3,3,5,3,3,5,5,3,4,1
0,21,1,1,0,590,0,13,4,2,3,2,4,4,4,2,4,4,3,2,4,3,0
1,46,1,0,0,365,40,31,3,3,4,3,3,2,4,2,2,5,2,2,2,2,0
0,51,1,1,1,1024,0,9,3,4,2,3,3,4,5,4,2,2,4,4,4,4,0
0,56,1,1,0,1399,0,0,2,1,4,4,3,1,4,1,1,2,1,1,1,5,0
0,42,1,0,1,627,0,0,2,2,4,3,2,2,3,2,4,5,2,2,2,2,0
0,49,1,0,0,421,7,4,5,5,2,4,5,5,2,5,4,4,5,5,5,5,1
1,42,1,0,0,2276,10,0,2,2,4,5,2,5,4,5,3,4,5,2,5,5,1
1,35,1,0,1,770,3,0,4,5,5,3,4,2,3,3,3,3,5,3,3,4,1
1,28,0,0,0,859,0,0,3,3,5,3,4,5,2,5,2,2,5,3,2,5,0
1,34,1,0,0,547,0,0,2,2,1,3,2,3,3,3,4,1,3,3,3,3,0
1,31,1,1,1,620,41,30,5,2,4,2,5,4,1,5,1,1,4,2,1,4,0
0,18,0,0,1,522,0,0,0,4,2,4,2,3,1,2,4,4,2,4,4,2,0
1,39,1,0,0,2454,0,0,5,5,5,5,5,5,4,5,3,5,5,5,5,5,1
1,55,0,0,0,1390,31,28,5,5,3,5,4,3,4,2,2,2,5,5,2,5,1
0,27,0,0,0,850,0,2,3,3,3,3,2,3,1,2,1,1,4,3,1,5,0
1,35,1,0,1,2304,0,0,5,5,5,4,5,3,4,2,4,4,2,4,4,4,1
0,56,1,0,0,1918,10,0,4,5,3,4,5,5,5,5,5,5,5,5,5,5,1
1,53,1,1,1,451,8,33,5,5,3,5,2,3,1,1,1,1,4,3,1,4,0
1,60,1,1,2,666,11,0,5,2,4,2,3,4,2,2,2,2,2,2,2,2,0
0,60,1,0,0,2500,6,5,1,1,3,4,1,5,3,4,1,4,5,5,5,5,0
1,46,1,0,0,86,0,0,1,1,5,5,1,1,5,3,2,5,2,1,5,1,1
1,23,0,0,1,297,0,0,4,1,4,1,1,4,1,5,1,1,4,1,1,5,0
1,32,0,0,0,872,7,10,4,4,5,4,1,4,5,4,4,4,4,4,4,5,0
0,40,1,0,0,802,0,0,3,3,5,5,3,4,4,4,3,4,4,3,4,4,1
1,12,1,1,2,551,0,0,2,3,2,3,1,2,4,3,3,3,2,3,3,1,0
1,26,0,0,0,351,4,11,4,4,4,4,3,4,2,5,2,2,5,4,2,4,1
0,28,1,0,1,853,0,0,4,4,4,2,4,1,2,1,2,2,2,2,2,2,0
1,26,0,0,1,1200,0,0,2,2,5,2,3,3,5,1,5,5,3,2,5,4,0
0,39,1,0,0,3062,0,1,2,2,4,3,2,1,3,1,3,2,1,1,1,1,0
1,40,0,0,1,624,0,0,1,2,2,2,4,3,3,4,3,3,4,2,3,4,0
1,48,1,0,0,1698,0,0,1,2,3,2,1,4,2,3,3,4,4,4,4,4,0
0,53,1,1,1,129,16,16,0,0,3,4,3,2,5,0,3,4,2,2,2,2,0
1,70,1,1,1,67,0,0,5,3,5,3,2,3,1,3,1,1,5,3,1,4,0
1,62,1,1,1,164,0,0,3,4,3,4,3,1,4,3,4,4,4,4,4,4,0
0,44,1,1,1,328,0,0,5,1,2,2,3,2,5,1,1,2,2,1,2,2,0
1,22,0,0,0,1010,8,0,1,4,4,4,1,3,2,5,2,2,4,4,2,5,1
0,32,1,1,1,1235,0,0,5,3,2,3,3,1,1,2,1,1,2,3,1,4,0
0,53,1,0,0,2054,0,0,2,1,3,5,2,5,5,5,4,2,5,2,5,5,1
1,39,1,1,1,108,0,7,2,1,2,1,4,3,2,1,2,2,4,1,2,4,0
0,47,1,0,0,1643,0,0,4,3,4,3,4,3,3,3,2,4,3,2,3,2,0
0,36,0,0,1,954,0,0,1,1,2,2,3,1,2,1,2,1,3,1,2,1,0
0,47,1,0,0,2556,0,0,5,5,4,4,5,4,4,4,4,4,1,5,4,3,1
0,53,1,1,1,552,0,0,4,4,4,5,1,5,4,4,5,4,5,4,5,5,0
0,28,1,1,1,301,0,0,4,1,5,1,3,4,4,3,2,2,5,1,2,5,0
0,39,0,0,0,1269,0,0,1,1,4,1,4,3,1,1,1,1,4,1,1,4,0
1,53,1,0,0,2139,0,1,3,3,4,4,3,2,3,2,4,4,2,2,2,2,0
0,30,1,1,1,431,38,16,4,4,3,4,5,1,1,1,4,4,4,4,4,2,0
0,38,1,0,0,859,0,0,5,5,5,4,5,5,5,4,3,2,5,5,5,5,1
0,64,1,1,1,554,12,41,4,2,3,4,1,1,4,2,4,5,1,2,1,1,0
1,41,1,0,1,2174,0,3,2,4,1,2,2,1,2,5,2,2,2,2,2,1,0
1,34,1,0,1,347,0,0,0,0,5,0,4,2,3,5,3,3,3,0,3,4,1
0,24,0,0,0,192,0,0,0,4,3,4,4,3,5,3,5,5,5,4,5,5,1
1,37,0,0,1,591,44,62,3,3,4,3,3,4,1,2,1,1,3,3,1,4,0
0,21,1,1,1,130,4,0,3,5,2,5,4,4,5,1,4,4,3,5,4,4,1
0,27,1,0,0,925,0,4,2,2,1,3,2,1,2,3,2,2,3,2,2,4,0
0,46,1,0,0,2058,0,6,2,2,4,2,2,2,3,2,2,4,2,2,2,2,0
0,58,1,1,1,967,8,26,5,2,5,5,5,1,4,2,4,3,1,2,1,1,0
0,31,1,0,0,1813,0,3,4,4,1,2,4,3,2,1,2,2,4,2,2,4,0
0,36,1,1,2,689,26,22,5,2,5,2,2,5,3,3,3,3,4,2,3,4,0
0,43,1,1,1,1042,0,38,5,3,3,2,2,1,3,3,2,3,1,3,1,1,0
1,51,1,0,1,925,30,57,2,2,3,5,2,1,5,4,5,5,5,5,5,2,1
0,8,0,0,1,628,37,34,1,3,4,3,3,1,3,1,3,3,3,3,3,3,0
1,58,1,1,1,1931,4,0,2,1,2,1,2,4,3,1,3,3,1,2,3,2,0
0,52,1,0,2,140,0,0,3,3,2,2,3,4,3,4,3,5,4,4,4,4,1
0,22,0,0,0,407,22,14,0,5,3,5,2,4,5,4,5,5,4,5,5,4,1
0,24,0,0,0,109,0,0,0,1,4,1,3,5,4,4,4,4,5,0,4,5,1
0,40,0,0,0,250,0,0,3,3,4,3,4,1,1,1,1,1,4,3,1,3,0
1,53,1,0,0,2819,0,0,5,1,5,4,5,4,4,4,3,2,4,5,4,4,1
0,30,1,0,2,1565,11,30,0,0,1,0,1,5,1,1,1,1,2,0,1,5,1
0,56,1,0,0,2832,0,0,5,4,5,5,4,4,5,4,4,5,4,4,4,4,1
0,39,1,1,1,651,0,0,2,0,3,0,3,1,4,4,1,1,4,1,1,3,0
1,36,0,0,0,453,0,0,3,3,5,3,4,5,4,2,4,4,4,3,4,5,0
1,56,1,0,0,2136,0,0,2,4,5,4,4,5,5,5,3,5,5,4,5,5,1
1,34,1,1,1,484,0,0,0,1,3,1,4,5,5,4,4,4,4,1,4,5,0
1,20,0,0,0,762,0,0,0,4,3,4,3,3,2,4,2,2,4,4,2,4,1
1,46,1,0,0,403,1,0,2,2,4,5,2,5,5,5,4,4,5,2,5,5,1
0,42,1,0,0,1951,0,0,1,1,3,5,1,4,5,4,5,4,4,1,4,4,1
0,49,1,0,2,300,0,0,2,2,1,5,2,5,3,5,4,5,5,5,5,5,1
1,24,0,0,1,1006,0,0,2,2,5,2,4,4,4,3,4,4,5,2,4,3,0
1,23,1,1,0,299,4,11,5,3,5,3,3,4,4,3,4,4,4,3,4,4,0
1,12,1,1,1,438,0,1,5,1,4,1,4,5,2,3,2,2,3,1,2,4,0
1,44,1,0,0,2280,9,9,5,5,4,4,5,5,4,5,4,5,5,5,5,4,1
1,28,1,0,0,820,0,2,3,3,3,4,3,3,4,3,4,4,1,3,4,1,1
0,38,1,1,2,308,19,14,5,2,2,2,4,3,1,2,1,1,5,2,1,1,0
1,53,1,1,1,725,0,4,2,2,4,2,3,2,1,3,1,1,4,2,1,4,0
0,63,1,0,1,669,4,3,5,5,1,4,5,3,3,3,1,1,3,3,3,3,0
0,45,1,1,2,271,6,2,5,4,5,4,5,4,5,4,5,2,4,4,4,4,1
0,57,1,0,0,2139,0,0,3,2,5,4,3,4,4,4,5,3,4,3,4,4,1
0,25,0,0,1,607,7,0,5,5,3,5,3,4,4,2,4,4,5,5,4,3,1
1,53,1,0,0,507,0,0,3,3,3,4,3,5,5,5,3,2,5,3,5,5,1
0,44,1,1,1,226,3,0,2,2,4,4,4,4,3,2,4,1,4,2,4,4,0
1,44,1,0,0,1613,8,15,1,1,3,4,1,4,3,4,3,4,4,4,4,4,0
0,40,1,0,1,2277,0,5,3,3,3,5,3,1,5,3,5,5,3,5,5,5,1
0,34,1,1,1,147,0,0,4,0,5,0,3,5,4,4,4,4,4,4,4,5,1
1,33,1,1,2,1050,0,0,5,2,5,2,2,5,2,4,2,2,4,2,2,4,0
0,33,1,1,1,679,22,15,4,2,3,2,1,5,1,2,1,1,5,2,1,5,0
0,52,1,0,0,1598,0,0,3,3,4,3,3,4,5,4,5,5,4,3,4,4,1
0,69,1,1,2,2475,0,0,2,3,3,4,4,3,4,3,3,2,3,3,3,3,0
1,54,1,0,0,416,0,0,2,2,3,5,2,4,4,4,5,2,4,2,4,4,1
0,51,1,1,1,354,0,0,4,3,5,4,2,4,5,3,3,3,4,4,4,4,0
1,52,1,0,0,1568,2,0,4,4,3,5,4,5,5,4,5,5,5,4,5,5,1
0,60,1,0,0,192,10,6,4,4,3,2,4,2,1,2,2,2,2,1,2,1,0
0,32,1,0,0,1615,0,0,2,2,2,3,2,4,4,5,4,4,3,4,4,4,0
0,62,1,1,1,500,0,0,5,3,5,5,1,3,4,3,4,5,3,3,3,3,0
1,22,1,0,0,359,0,0,5,5,3,5,5,2,5,5,5,5,5,5,5,3,1
0,32,1,1,1,1428,11,5,5,1,4,1,1,4,5,2,5,5,5,1,5,3,0
1,24,1,0,1,493,19,15,1,5,2,2,1,3,1,3,2,2,4,2,2,3,0
0,18,0,0,0,1261,18,39,0,5,2,2,1,2,2,3,2,5,5,5,3,4,1
0,56,1,0,0,733,0,0,5,5,5,5,5,5,5,5,3,2,5,5,5,5,1
1,45,1,0,0,283,28,81,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
1,39,1,0,0,248,18,34,5,5,5,5,5,5,4,5,5,2,5,5,5,5,1
0,19,1,1,0,289,0,0,5,5,3,5,4,4,4,4,1,1,5,5,1,4,1
1,42,1,0,0,554,25,16,3,3,5,5,3,4,4,4,3,4,4,3,4,4,1
0,45,1,0,0,1842,27,27,3,3,5,5,3,4,4,4,4,2,4,3,4,4,1
0,40,0,0,0,986,0,0,4,4,3,4,2,2,2,2,1,1,1,4,1,2,0
1,36,0,0,0,935,0,0,3,3,5,3,4,3,1,4,1,1,5,3,1,4,0
0,23,0,0,0,120,0,0,3,2,4,2,3,3,2,1,2,2,3,2,2,3,0
0,41,1,0,0,2583,21,34,5,5,4,5,5,4,4,4,3,2,4,5,4,4,1
0,26,1,0,1,937,1,0,3,3,2,4,3,1,4,1,4,4,1,4,4,3,1
1,55,1,0,0,1562,4,0,1,1,5,5,1,2,5,2,4,4,2,1,2,2,1
1,47,1,0,0,1606,0,0,5,5,5,3,5,4,2,4,5,2,4,5,4,4,1
0,24,1,1,1,408,0,0,4,1,5,1,2,2,3,3,3,3,2,1,3,5,0
1,46,1,1,1,405,0,0,4,3,3,3,5,5,4,2,4,4,4,3,4,5,0
0,52,1,0,0,587,0,0,5,5,1,5,5,4,5,4,1,3,4,5,4,4,1
0,32,1,0,1,1751,3,0,2,2,4,2,2,4,2,2,2,2,4,2,2,2,0
0,44,1,0,0,2504,0,0,3,3,4,4,3,5,5,5,3,4,5,3,5,5,1
1,51,1,0,0,919,13,5,2,2,4,5,2,4,5,3,3,5,4,2,4,4,1
1,47,1,1,1,1874,11,39,2,4,3,4,4,4,5,3,5,5,3,4,5,3,0
0,30,0,0,0,883,15,0,1,1,4,1,3,5,1,5,1,1,5,1,1,5,0
0,23,0,0,1,927,22,8,3,3,5,3,3,5,1,5,1,1,4,3,1,5,0
0,51,1,0,1,238,34,29,2,2,5,3,2,4,1,4,2,2,4,4,4,4,1
1,56,1,1,1,404,6,5,2,2,4,2,4,1,3,5,1,1,3,2,1,3,0
1,34,1,0,2,101,3,5,3,3,3,5,3,4,5,3,5,5,5,5,5,5,1
0,20,0,0,0,204,0,0,0,4,5,4,3,5,1,5,1,1,5,4,1,4,1
0,36,1,0,0,3129,26,29,3,3,3,4,3,4,3,4,3,4,4,4,4,4,0
0,54,1,1,1,1197,0,7,5,2,5,3,2,5,5,2,5,3,5,2,5,5,0
1,27,1,0,0,1796,25,40,3,3,4,2,3,4,1,2,2,2,3,1,2,3,0
0,17,0,0,2,550,17,24,1,3,2,3,3,1,1,2,1,1,4,3,1,4,0
0,46,1,0,0,562,1,0,4,4,3,4,4,2,4,2,4,2,2,4,2,2,1
0,32,1,1,1,1037,0,0,4,0,4,0,1,5,5,4,5,5,4,1,5,5,0
1,10,1,1,1,612,0,0,4,2,5,2,3,2,1,5,1,1,3,3,1,3,0
1,51,1,0,0,3033,0,0,5,5,1,3,5,4,4,4,4,2,4,5,4,3,1
1,8,1,1,1,1476,7,22,4,3,3,3,4,3,2,1,2,2,3,3,2,3,0
0,16,1,0,0,1728,0,0,5,5,1,5,5,2,5,2,5,5,4,5,5,3,1
0,14,1,1,1,1448,0,0,5,2,5,2,4,5,4,1,4,4,5,1,4,2,0
0,56,1,0,0,1850,0,0,1,1,5,4,1,5,5,4,4,4,5,1,5,5,1
1,35,1,0,0,1624,12,21,4,4,3,4,4,1,3,1,2,2,1,1,1,1,0
0,47,1,0,1,633,0,0,4,4,2,4,4,3,3,3,3,2,3,3,3,3,0
0,36,1,1,1,1440,1,16,4,2,5,2,1,5,3,2,3,3,5,2,3,4,0
1,37,1,1,1,1045,15,2,4,1,5,1,2,5,2,2,2,2,4,1,2,4,0
1,22,0,0,1,303,0,25,4,2,4,2,3,3,1,5,1,1,5,2,1,4,0
1,47,1,1,1,2182,1,0,3,5,5,5,2,4,3,3,3,3,3,4,3,3,0
1,48,1,0,1,591,35,86,3,3,4,3,3,1,3,1,3,3,4,3,3,1,1
1,61,1,1,0,896,35,23,3,2,3,3,3,5,2,2,5,2,5,2,5,5,0
1,13,1,1,2,937,0,20,3,1,5,1,2,3,2,1,2,2,3,1,2,1,0
1,52,1,0,0,1822,22,19,1,1,4,5,1,3,4,3,3,5,3,1,3,3,1
1,41,1,0,0,1698,0,1,1,1,3,4,1,4,5,4,4,5,4,1,4,4,1
1,28,1,1,1,1089,0,0,1,0,4,0,4,4,5,2,5,5,3,1,5,4,0
0,35,1,0,0,1448,6,22,4,4,5,2,4,2,1,2,1,1,2,4,2,2,1
0,52,1,1,1,304,13,5,1,2,3,2,1,1,2,2,4,5,1,2,1,2,0
0,41,1,0,0,1334,0,0,2,2,4,4,2,4,4,4,5,2,4,2,4,4,1
0,25,0,0,1,594,14,7,1,1,1,1,3,2,3,3,3,3,3,2,3,3,0
1,28,1,0,0,1092,0,0,5,5,3,2,5,2,2,3,2,2,4,2,2,3,0
0,27,1,1,2,1587,0,1,1,3,1,3,2,2,1,2,1,1,3,3,1,3,0
0,21,1,0,1,1208,13,20,5,5,1,1,5,4,2,2,1,1,3,1,1,3,0
1,43,1,0,0,2912,0,0,1,1,2,5,1,4,3,4,4,5,4,1,4,4,1
1,9,0,0,1,529,0,0,4,2,5,2,1,5,2,3,3,3,5,2,3,4,0
1,21,1,1,0,569,14,13,4,2,5,2,1,5,2,3,2,2,5,2,2,4,0
0,56,1,0,0,2454,0,0,1,1,4,4,1,5,4,4,4,4,4,1,4,4,1
0,47,1,1,1,1304,0,0,5,2,3,4,3,5,5,2,5,3,5,2,5,5,0
1,63,1,0,0,2575,16,10,5,5,1,4,5,1,3,1,4,1,1,1,1,1,0
0,25,1,1,1,679,33,21,3,2,2,2,4,3,1,5,1,1,2,2,1,4,0
0,22,0,0,1,163,0,0,0,4,5,4,3,4,4,3,4,4,2,4,4,2,1
0,33,1,0,0,1842,0,0,5,5,3,4,5,3,4,2,2,2,3,3,3,3,0
1,32,1,0,0,2367,0,0,1,5,4,4,5,4,4,3,4,4,5,5,4,4,1
0,26,0,0,1,399,21,3,1,4,1,4,4,3,3,5,3,3,4,4,3,4,0
0,43,1,0,0,2920,0,0,4,3,1,2,4,5,2,5,5,5,5,4,5,4,1
1,47,1,0,0,168,0,3,4,0,5,4,4,3,5,3,4,2,3,0,3,3,1
0,67,1,1,1,328,0,0,1,1,4,3,3,5,3,1,3,4,5,1,5,5,0
0,53,1,1,2,236,30,21,5,3,5,5,3,2,1,3,2,4,2,3,2,1,0
1,23,1,1,1,364,0,40,5,2,3,2,1,4,2,2,2,2,5,2,2,5,0
0,33,1,0,0,2462,0,0,1,2,4,5,2,4,2,4,4,3,4,2,4,4,1
0,46,1,0,0,2172,0,0,4,4,3,5,4,4,5,4,5,2,4,4,4,4,1
1,36,0,0,1,129,0,0,4,4,4,4,2,3,5,5,5,5,1,4,5,3,0
0,44,1,0,0,735,0,0,2,2,5,5,2,5,4,5,4,4,5,2,5,5,1
0,35,1,1,1,395,0,0,4,3,3,3,3,3,5,4,4,4,4,3,4,5,0
0,17,1,1,1,1698,8,6,3,2,3,2,3,2,1,4,1,1,4,2,1,3,0
0,28,0,0,1,866,15,7,3,3,1,3,2,3,3,3,3,3,2,3,3,2,0
1,59,1,0,0,2173,0,30,4,4,3,2,4,3,2,3,1,5,3,3,3,3,0
1,46,1,1,1,106,0,0,4,2,5,2,3,4,2,4,2,2,4,2,2,5,0
0,26,1,1,1,207,0,2,4,4,4,4,5,5,4,2,4,4,3,4,4,3,0
1,40,1,0,0,266,19,0,3,3,4,5,3,4,3,4,5,2,4,3,4,4,1
0,54,1,0,1,562,17,17,1,5,3,3,5,3,3,3,4,5,3,3,3,3,0
0,16,1,1,1,1099,0,0,1,2,2,2,3,3,3,1,3,3,4,2,3,3,0
1,48,1,1,1,397,0,0,3,2,3,2,3,4,2,5,2,2,3,2,2,3,0
0,70,1,1,1,1164,1,0,5,3,4,3,1,4,5,3,3,4,4,3,4,2,0
1,42,1,1,1,224,0,1,5,3,4,3,2,5,3,4,3,3,4,3,3,4,0
1,17,1,0,0,2075,0,0,4,4,3,2,4,5,2,3,2,2,5,4,2,5,1
0,53,1,0,0,786,0,0,3,3,3,5,3,4,4,4,3,4,4,3,4,4,1
0,50,1,0,0,409,0,23,4,2,3,4,4,5,4,5,3,2,5,4,5,5,1
0,24,0,0,1,605,0,0,0,2,5,2,2,4,1,4,1,1,5,1,1,4,0
0,49,1,0,0,1506,8,13,1,1,4,4,1,5,5,5,3,4,5,1,5,5,1
0,31,1,0,0,2765,23,13,3,3,4,5,3,5,5,4,5,5,4,3,5,5,1
0,63,1,1,1,1085,0,0,5,3,2,5,5,1,5,3,2,3,1,3,1,1,0
1,51,1,0,0,1729,0,0,5,5,4,5,5,4,5,4,3,5,4,5,4,4,1
0,44,1,0,0,3145,41,21,1,1,4,4,1,5,4,5,5,3,5,1,5,5,1
0,40,1,1,1,859,22,0,3,3,1,3,3,2,3,1,3,3,4,3,3,3,0
1,24,1,0,0,2173,19,5,1,1,5,5,1,5,5,2,5,5,5,1,5,3,1
0,19,1,1,1,1747,0,0,1,4,4,4,4,3,2,1,2,2,4,4,2,3,1
0,21,0,0,0,1201,22,25,4,5,3,5,1,4,1,5,2,2,4,5,2,5,1
0,25,1,0,0,2454,39,16,2,2,3,3,2,3,3,4,3,3,4,3,1,3,0
1,47,1,0,0,2629,0,0,4,4,5,4,4,4,4,4,3,3,4,4,4,4,1
0,35,1,0,0,396,5,5,5,5,2,4,5,2,4,3,1,5,2,2,2,2,0
1,56,1,1,1,2583,0,2,4,5,2,5,4,4,5,3,5,5,2,5,5,3,1
1,18,1,1,1,78,12,11,5,3,5,3,3,3,5,4,5,5,4,3,5,4,0
0,57,1,0,1,1587,0,0,4,4,2,4,4,5,3,5,3,1,5,5,5,5,1
0,40,1,0,0,404,9,0,5,5,3,4,5,3,5,3,3,2,3,5,3,3,1
0,8,1,1,2,569,0,0,5,1,5,1,1,3,5,5,5,5,4,1,5,4,0
1,56,1,0,0,409,18,6,2,2,4,4,2,4,5,4,3,3,4,2,4,4,1
1,51,1,0,0,1919,7,0,3,3,3,3,3,2,4,2,4,5,2,3,2,2,1
